"Title","Other titles","BL record ID","Type of resource","Content type","Material type","BNB number","Archival Resource Key","ISBN","Name","Dates associated with name","Type of name","Role","All names","Series title","Number within series","Country of publication","Place of publication","Publisher","Date of creation/publication","Edition","Physical description","Dewey classification","BL shelfmark","Topics","Genre","Languages","Notes","Provenance"
"Jane Eyre","","000485659","Monograph","Language material ; Text","Volume","","","9780856900204","Brontë, Charlotte","1816-1855","person","","Brontë, Charlotte, 1816-1855 [person]","Peebles classic library","","Scotland","New York, London ; Peebles","International","1974","","2 volumes (476 pages), 19 cm","","Nov.22496","","","","",""
"Jane Eyre","","000485660","Monograph","Language material ; Text","Volume","","","9780356080239","Brontë, Charlotte","1816-1855","person","","Brontë, Charlotte, 1816-1855 [person]","Macdonald classics","","England","London","Macdonald","1975","","xvii, 508 pages, illustrations, 21 cm","","Nov.22495","","","","",""
"Jane Eyre","","000485671","Monograph","Language material ; Text","Volume","","","","Brontë, Charlotte","1816-1855","person","","Brontë, Charlotte, 1816-1855 [person]","","","England","London","W. Foulsham","1945","Abridged edition","192 pages (8°)","","12639.pp.17","","","","",""
"Jane Eyre","","000485673","Monograph","Language material ; Text","Volume","","","","Brontë, Charlotte","1816-1855","person","","Brontë, Charlotte, 1816-1855 [person] ; Attwood, E. M. (Evelyn May), 1906- [person]","Longmans' Simplified English Series","","England","London","Longmans Green","1949","","159 pages (8°)","","W.P.6494/22","","","","",""
"Jane Eyre","","000485674","Monograph","Language material ; Text","Volume","","","","Brontë, Charlotte","1816-1855","person","","Brontë, Charlotte, 1816-1855 [person]","Shortened Classics","","England","Huddersfield","Schofield & Sims","1954","","320 pages (8°)","","W.P.C.273/4","","","","",""
"Jane Eyre","","000485676","Monograph","Language material ; Text","Volume","","","","Brontë, Charlotte","1816-1855","person","","Brontë, Charlotte, 1816-1855 [person]","Cameo Classics","","England","London","Thomas Nelson","1955","","vi, 186 pages (8°)","","W.P.C.707/3","","","","",""
"Jane Eyre","","000485677","Monograph","Language material ; Text","Volume","","","","Brontë, Charlotte","1816-1855","person","","Taylor, Griselda [person] ; Brontë, Charlotte, 1816-1855 [person]","Sheldon Library","","England","London","Oxford University Press","1957","","299 pages (8°)","","W.P.D.585/6","","","","",""
"Jane Eyre","","000485678","Monograph","Language material ; Text","Volume","","","","Brontë, Charlotte","1816-1855","person","","Brontë, Charlotte, 1816-1855 [person]","Shorter Classics","","England","London","Ginn","1958","","vii, 168 pages (8°)","","W.P.12082/8","","","","",""
"Jane Eyre","","000485679","Monograph","Language material ; Text","Volume","","","","Brontë, Charlotte","1816-1855","person","","Macneill, J. M. [person] ; Brontë, Charlotte, 1816-1855 [person]","Longmans' Abridged Books","","England","London","Longmans","1964","","xi, 209 pages (8°)","","11314.d.13/11","","","","",""
"Jane Eyre","","000485680","Monograph","Language material ; Text","Volume","","","","Brontë, Charlotte","1816-1855","person","","Donald, Winifred W. [person] ; Brontë, Charlotte, 1816-1855 [person]","Collins Abridged Classics","number 5 [Collins Abridged Classics]","England ; Scotland","Glasgow ; London","Collins","1965","","224 pages (8°)","","X.0908/34. (5.)","","","","",""
"Jane Eyre","","000485681","Monograph","Language material ; Text","Volume","","","","Brontë, Charlotte","1816-1855","person","","Sweaney, Alice [person] ; Brontë, Charlotte, 1816-1855 [person]","Tales Retold for Easy Reading","","England","London","Oxford University Press","1937","","vi, 92 pages (8°)","","W.P.12087/11","","","","",""
"Jane Eyre","","000485682","Monograph","Language material ; Text","Volume","","","","Brontë, Charlotte","1816-1855","person","","Green, Margery [person] ; Brontë, Charlotte, 1816-1855 [person]","Macmillan's Stories to Remember. Senior series","","India","Madras","Macmillan","1957","","163 pages (8°)","","W.P.C.153/18","","","","",""
"Jane Eyre","","000485683","Monograph","Language material ; Text","Volume","","","","Brontë, Charlotte","1816-1855","person","","Fyfe, Muriel [person] ; Brontë, Charlotte, 1816-1855 [person]","Pictorial Classics","","England","London","Oxford University Press","1957","","128 pages (8°)","","W.P.6428/3","","","","",""
"Jane Eyre","","000485684","Monograph","Language material ; Text","Volume","","","","Brontë, Charlotte","1816-1855","person","","Brontë, Charlotte, 1816-1855 [person]","Pictorial Classics","","England","London","Oxford University Press","1961","","128 pages (8°)","","X.0989/83.b","","","","A reissue of the edition of 1957",""
"Jane Eyre","","000485686","Monograph","Language material ; Text","Volume","","","9780216896901","Kennett, John","","person","adaptor","Brontë, Charlotte, 1816-1855 [person] ; Kennett, John, adaptor [person]","The phoenix library","","Scotland","Glasgow","Blackie","1973","","106 pages, illustrations, 20 cm","823.91","X.998/3496","Children's stories","","","",""
"Jane Eyre","","001866255","Monograph","Language material ; Text","Volume","","","","Jerome, Helen","1883-1958","person","","Jerome, Helen, 1883-1958 [person] ; Brontë, Charlotte, 1816-1855 [person]","","","","","","","","100 pages","","11782.c.12","","","","",""
"Jane Eyre","","001866257","Monograph","Language material ; Text","Volume","","","","Jerome, Helen","1883-1958","person","","Jerome, Helen, 1883-1958 [person] ; Brontë, Charlotte, 1816-1855 [person]","","","United States of America","New York","Samuel French","1943","","111 pages (8°)","","011791.b.10","","","","",""
"Jane Eyre","","004123792","Monograph","Language material ; Text","Volume","","","","Brontë, Charlotte","1816-1855","person","","Sweaney, Alice [person] ; Brontë, Charlotte, 1816-1855 [person]","Oxford English Readers","","England","London","Oxford University Press","1967","","92 pages","","X.998/2559","","","English","",""
"Jane Eyre","","004123795","Monograph","Language material ; Text","Volume","","","","Brontë, Charlotte","1816-1855","person","","Fyfe, Muriel [person] ; Brontë, Charlotte, 1816-1855 [person]","Oxford English Picture Readers","","England","London","Oxford University Press","1967","","128 pages","","X.998/2558","","","English","",""
"Jane Eyre","","004123797","Monograph","Language material ; Text","Volume","","","","Brontë, Charlotte","1816-1855","person","","Green, Margery [person] ; Brontë, Charlotte, 1816-1855 [person]","Macmillan's Stories to Remember. Senior series","","England","London","Macmillan","1967","","163 pages","","X.998/2587","","","English","",""
"Jane Eyre","","004124309","Monograph","Language material ; Text","Volume","","","","Brontë, Charlotte","1816-1855","person","","Brontë, Charlotte, 1816-1855 [person]","","","England","London","","1967","","","","H.67/321","","","English","",""
"Jane Eyre","","004124310","Monograph","Language material ; Text","Volume","","","","Brontë, Charlotte","1816-1855","person","","Brontë, Charlotte, 1816-1855 [person]","","","England","London","Heron","1969","","xix, 554 pages","","X.909/18310","","","English","",""
"Jane Eyre","","005594515","Monograph","Language material ; Text","Volume","GB7600708","","9780856900204","Brontë, Charlotte","1816-1855","person","","Brontë, Charlotte, 1816-1855 [person]","The Peebles classic library","","England ; Scotland ; United States of America","Euston Street, Freeman's Common, Aylestone Road, Leicester LE2 7SS ; Leicester ; London ; New York ; Peebles","International","1975","","9-234 pages, 1 portrait, 20 cm","823.8","","Fiction in English--1837-1900--Texts","","English","",""
"Jane Eyre","","005594516","Monograph","Language material ; Text","Volume","GB7600709","","9780856900211","Brontë, Charlotte","1816-1855","person","","Brontë, Charlotte, 1816-1855 [person]","The Peebles classic library","","England ; Scotland ; United States of America","Euston Street, Freeman's Common, Aylestone Road, Leicester LE2 7SS ; Leicester ; London ; New York ; Peebles","International","1975","","6 pages, pages 235-476, 1 portrait, 20 cm","823.8","","Fiction in English--1837-1900--Texts","","English","",""
"Jane Eyre","","005602049","Monograph","Language material ; Text","Volume","GBA3X2081","","9780340871645","Page, Philip","1945-","person","","Page, Philip, 1945- [person] ; Pettit, Marilyn [person]","Livewire graphics","","England","London","Hodder & Stoughton","2003","","64 pages, illustrations, 25 cm","823.8","","Brontë, Charlotte, 1816-1855--Study and teaching (Secondary)--Great Britain","","English","",""
"Jane Eyre","","006782519","Monograph","Language material ; Text","Volume","","","","Brontë, Charlotte","1816-1855","person","","Brontë, Charlotte, 1816-1855 [person]","","","","","J M Dent","1905","","","","W6/4913","","","English","",""
"Jane Eyre","","006955097","Monograph","Language material ; Text","Volume","GBA4Y5564","","9780237526870","Francis, Pauline","","person","","Francis, Pauline [person] ; Brontë, Charlotte, 1816-1855 [person]","Fast track classics. Family classics","","England","London","Evans","2005","","48 pages, illustrations, 20 cm","823.92","YK.2011.a.39511","Governesses--England--Juvenile fiction ; England--Social life and customs--19th century--Juvenile fiction","Children's fiction","English","",""
"Jane Eyre","","006990910","Monograph","Language material ; Text","Volume","GB6217162","","","Brontë, Charlotte","1816-1855","person","","Brontë, Charlotte, 1816-1855 [person]","English picture readers, pictorial classic series","","United Kingdom","","Oxford University Press","1961","","128 pages, illustrations, 19 cm","428.6","","","","English","This edition originally published (B5718576) 1957",""
"Jane Eyre","","006994803","Monograph","Language material ; Text","Volume","GB6302255","","","Brontë, Charlotte","1816-1855","person","","Brontë, Charlotte, 1816-1855 [person]","Classics series-no.6","","United Kingdom","","Macmillan","1962","","549 pages, illustrations, 24 cm","823.8","","","","English","",""
"Jane Eyre","","007010366","Monograph","Language material ; Text","Volume","GB7102527","","9780006125877","Brontë, Charlotte","1816-1855","person","","Brontë, Charlotte, 1816-1855 [person]","","","England","London","Fontana","1970","Special film edition, with an introduction and notes on the Omnibus film, by George Curry","474 pages, 8 plates, 19 illustrations, 18 cm","823.8","","Fiction in English, 1837-1900--Texts","","English","",""
"Jane Eyre","","007033986","Monograph","Kit","","GBA357636","","9781844660711","Dooley, Jenny","","person","","Brontë, Charlotte, 1816-1855 [person] ; Dooley, Jenny [person]","Classic readers. Level 4","","England","Newbury","Expres Publishing","2003","","1 audio CD ; 111 pages, colour illustrations, 1 portrait, 21 cm","428.6","","English language--Textbooks for foreign speakers ; Readers (Elementary)","Textbook","English","",""
"Jane Eyre","","007240466","Monograph","Language material ; Text","Volume","GB9536464","","9781853260209","Brontë, Charlotte","1816-1855","person","","Brontë, Charlotte, 1816-1855 [person]","","","England","Ware","Wordsworth Classics","1995","","401 pages","823.8","H.95/2039","English fiction","","English","",""
"Jane Eyre","","007375264","Monograph","Language material ; Text","Volume","GB9343983","","9780435126025","Brontë, Charlotte","1816-1855","person","","Brontë, Charlotte, 1816-1855 [person] ; Cross, Helen, 1959- [person]","","","England","Oxford","New Windmill Classics","1993","","xxiv, 520 pages, 20 cm","823.8","Nov.1993/2160","English fiction","","English","",""
"Jane Eyre","","007390572","Monograph","Language material ; Text","Volume","GB8412087","","9780460002875 ; 9780460112871","Brontë, Charlotte","1816-1855","person","","Brontë, Charlotte, 1816-1855 [person]","Everymans library","","England","London","Dent","1983","","xv, 457 pages, 20 cm","823.8","X.958/20214","Fiction in English--1837-1900--Texts","","English","",""
"Jane Eyre","","007392176","Monograph","Language material ; Text","Volume","GB98Y8233","","9780460875967","Brontë, Charlotte","1816-1855","person","","Brooks-Davies, Douglas [person] ; Brontë, Charlotte, 1816-1855 [person]","","","England","London","Everyman","1998","","xlv, 530 pages, 1 facsimile, 20 cm","823.8","H.98/2514","England--Social life and customs--19th century--Fiction ; Governesses--England--Fiction ; Man-woman relationships--England--Fiction ; Orphans--England--Fiction","","English","",""
"Jane Eyre","","007669844","Monograph","Language material ; Text","Volume","GB6412880","","","Brontë, Charlotte","1816-1855","person","","Brontë, Charlotte, 1816-1855 [person]","School classics-no.7","","United Kingdom","","Collins","1963","New edition reprinted, with notes and questions by H. E. Gardiner","512 pages, illustrations, 19 cm","823.8","","","","English","This edition originally published (B53-11493) 1953",""
"Jane Eyre","","007671585","Monograph","Language material ; Text","Volume","GB6414944","","","Brontë, Charlotte","1816-1855","person","","Brontë, Charlotte, 1816-1855 [person]","Abridged books","","United Kingdom","","Longmans","1964","","209 pages, 21 cm","823.8","","","","English","",""
"Jane Eyre","","007674882","Monograph","Language material ; Text","Volume","GB6418885","","","Brontë, Charlotte","1816-1855","person","","Brontë, Charlotte, 1816-1855 [person]","Great writing in English series","","United Kingdom","","Longmans","1964","","565 pages, illustrations, 19 cm","823.8","","","","English","",""
"Jane Eyre","","007683561","Monograph","Language material ; Text","Volume","GB7316184","","9780192553461","Brontë, Charlotte","1816-1855","person","","Smith, Margaret, 1931- [person] ; Brontë, Charlotte, 1816-1855 [person]","Oxford English novels","","England","London","Oxford University Press","1973","","xxxviii, 479 pages, 1 illustration, music, 21 cm","823.8","","Fiction in English, 1837-1900--Texts","","English","",""
